Mouse,Genotype,Colony_Prefix,Sex,Gene_Name,period,start,Age_In_Weeks,low_survival_spotted,start_weight,weigth_min,w_d7,auc_d7,Average_Histo_Score,E_score_Histo,M_score_Histo,surv_days,pre_d10_death
M02472717,Igsf8:Hom,DAED,Female,Igsf8,C,2017-01-03,24.1,NA,NA,-0.2064777327935222,-0.11740890688259104,-0.24898785425101208,NA,NA,NA,10,FALSE
M02472718,Igsf8:Hom,DAED,Female,Igsf8,C,2017-01-03,24.1,NA,NA,-0.05078125000000003,-0.05078125000000003,-0.029296875000000347,NA,NA,NA,10,FALSE
M02472719,Igsf8:Hom,CBSC,Female,Igsf8,C,2017-01-03,24.1,NA,NA,-0.1140350877192983,-0.07602339181286553,-0.25438596491228127,NA,NA,NA,10,FALSE
M02472720,Igsf8:Hom,DABR,Female,Igsf8,C,2017-01-03,24.1,NA,NA,-0.06845238095238097,-0.05059523809523818,-0.12648809523809545,NA,NA,NA,10,FALSE
M02473941,Lncenc1(.1):Hom,DABR,Female,Lncenc1,C,2016-09-05,8.1,NA,NA,-0.09734513274336296,0.026548672566371584,0.1194690265486723,NA,NA,NA,10,FALSE
M02473942,Lncenc1(.1):Hom,DABR,Female,Lncenc1,C,2016-09-05,8.1,NA,NA,-0.07281553398058252,-0.024271844660194174,-0.2839805825242722,NA,NA,NA,10,FALSE
M02475614,Morc2a:Het,DACZ,Female,Morc2a,C,2017-01-03,23.7,NA,NA,-0.04390243902439017,-0.03170731707317066,-0.07195121951219502,NA,NA,NA,10,FALSE
M02475615,Morc2a:Het,DACF,Female,Morc2a,C,2017-01-03,23.7,NA,NA,-0.08837209302325574,-0.0604651162790698,-0.12325581395348839,NA,NA,NA,10,FALSE
M02475616,Morc2a:Het,DACF,Female,Morc2a,C,2017-01-03,23.7,NA,NA,-0.06947890818858554,-0.054590570719602875,-0.1141439205955331,NA,NA,NA,10,FALSE
M02475617,Morc2a:Het,DACF,Female,Morc2a,C,2017-01-03,23.7,NA,NA,-0.09876543209876541,-0.04320987654320983,-0.14814814814814786,NA,NA,NA,10,FALSE
M02475991,WT,DACF,Female,,C,2016-09-05,8.1,NA,NA,-0.10050251256281408,-0.01507537688442197,-0.07286432160803982,NA,NA,NA,NA,FALSE
