Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,Total_T_cells_-_%_of_CD45+,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Sept10,MFXQ,M02013503,Sept10:Het,Het,Male,2015-04-09,15.7,41.526,1.43,98.57,96.893,0.945,0.015,0.419,0.937,1.308,97.838,0.594,40.932,39.661,0.387,0.23,0.156,0.006,0.171,52.523,97.72,56.83,87.793,12.459,87.496,0.315,12.316,51.731,47.342,2.988,42.742,1.837,17.369,80.563,0.157,2.28,61.553,13.836,83.129,0.167,0.233,79.571,5.386,94.434,0.718,20.429,64.336,36.364,9.79,0.449,39.376,60.921,9.212,1.778,0.206,4.199,0.844,3.356,4.312,23.997,22.891,77.109,24.62,75.177,61.456,51.325,29.168,25.608,3.19,22.406,0.081,3.592,1.858,1.701,0.107,21.937,0.403,3.81,17.673,0.034,1.197,0.737,0.166,0.995,0.002,0.186,0.01,0.175,0.001,0.048,0.031,0.017,0.005,0.177,0.273,0.041,0.004,0.075,0.015,0.06,0.077,0.427,0.098,0.329,0.081,0.247,0.152
Sept10,MFXQ,M02013507,Sept10:Hom,Hom,Male,2015-04-09,15.4,35.108,2.207,97.793,94.999,1.978,0.012,0.496,1.115,2.004,96.977,0.775,34.333,32.616,0.679,0.409,0.27,0.004,0.17,53.805,98.275,56.644,87.062,19.687,80.064,0.539,13.029,72.273,25.637,4.417,42.704,4.697,16.161,75.391,0.197,1.725,65.687,27.019,67.026,0.112,0.216,69.76,17.661,82.339,0.917,30.24,55.556,43.915,21.693,0.516,59.612,40.589,8.104,2.788,0.091,2.831,0.487,2.344,1.674,18.539,34.811,65.189,32.997,66.247,57.034,52.877,29.952,26.077,5.134,20.878,0.141,3.902,2.82,1,0.172,22.58,1.061,3.649,17.024,0.045,0.928,0.61,0.251,0.622,0.001,0.151,0.027,0.124,0.001,0.065,0.036,0.029,0.014,0.307,0.209,0.042,0.003,0.079,0.014,0.065,0.047,0.517,0.18,0.337,0.111,0.223,0.127
Trim65,MUGH,M02013542,Trim65(b):Hom,Hom,Male,2015-04-09,16,49.42,1.287,98.713,94.923,1.95,0.053,0.806,1.2,2.047,96.873,0.636,48.784,46.307,0.951,0.507,0.444,0.026,0.393,42.448,97.135,54.906,85.881,16.964,82.994,0.43,14.209,56.228,43.109,4.311,44.563,3.064,19.244,77.697,0.312,2.865,50.219,14.2,83.224,0.055,0.274,68.287,7.117,92.883,0.712,31.713,55.172,44.828,15.709,0.6,32.278,67.778,10.389,1.327,0.05,6.431,0.427,6.004,4.622,43.08,21.633,78.367,22.098,77.753,65.742,41.232,22.639,19.443,3.298,16.136,0.084,3.217,1.809,1.387,0.139,18.374,0.563,3.536,14.276,0.057,1.216,0.611,0.173,1.012,0.001,0.187,0.013,0.174,0.001,0.087,0.048,0.039,0.014,0.194,0.407,0.062,0.001,0.085,0.006,0.08,0.061,0.572,0.124,0.448,0.099,0.348,0.229
Cutal,MFBV,M02013572,Cutal:Hom,Hom,Female,2015-04-13,16.1,31.012,2.139,97.861,92.289,3.302,0.036,0.535,2.847,1.589,95.59,0.663,30.349,28.009,1.002,0.808,0.194,0.011,0.162,55.401,97.906,57.218,87.654,17.716,82.223,0.419,12.408,70.977,27.612,3.506,42.204,3.509,13.659,82.047,0.252,2.094,73.111,15.34,78.828,0.029,0.254,69.382,12.689,87.311,0.947,30.618,74.249,24.464,13.734,0.481,41.759,58.518,13.504,1.254,0.155,7.306,1.276,6.03,8.852,36.413,22.505,77.495,27.945,71.781,59.351,54.24,31.036,27.204,4.819,22.368,0.114,3.851,2.733,1.063,0.135,22.892,0.803,3.127,18.782,0.058,1.16,0.848,0.178,0.915,0,0.176,0.022,0.154,0.002,0.078,0.058,0.019,0.011,0.201,0.282,0.065,0.002,0.092,0.016,0.076,0.111,0.457,0.103,0.354,0.099,0.254,0.151
Cutal,MFBV,M02013574,Cutal:Hom,Hom,Female,2015-04-13,16.1,27.643,2.36,97.64,93.177,2.608,0.009,0.527,2.44,1.881,95.785,0.652,26.991,25.149,0.704,0.52,0.184,0.002,0.142,58.603,98.12,58.949,86.582,14.758,85.128,0.474,13.398,64.482,34.08,3.978,40.539,2.956,11.547,84.995,0.42,1.88,72.868,18.693,76.376,0.121,0.194,68.675,15.288,84.962,1.003,31.325,78.571,21.429,6.593,0.454,45.048,55.466,14.894,1.224,0.033,6.669,0.6,6.069,11.971,33.311,33.734,66.266,32.779,66.918,59.819,57.501,33.896,29.348,4.331,24.983,0.139,4.541,2.928,1.548,0.181,23.31,0.689,2.692,19.813,0.098,1.102,0.803,0.206,0.842,0.001,0.133,0.02,0.113,0.001,0.061,0.048,0.013,0.004,0.205,0.252,0.068,0,0.082,0.007,0.074,0.147,0.408,0.138,0.27,0.089,0.181,0.108
Galnt18,MUEL,M02013913,Galnt18(b):Hom,Hom,Male,2015-04-09,15.9,39.478,1.958,98.042,95.073,2.337,0.013,2.09,1.247,1.44,97.409,0.773,38.705,36.797,0.904,0.428,0.476,0.005,0.809,50.944,97.635,52.302,85.188,17.781,82.203,1.468,15.01,67.598,31.777,6.838,47.032,1.628,25.622,72.373,0.301,2.365,73.116,14.229,84.252,0.281,0.504,84.14,4.633,95.367,1.757,15.86,32.203,66.102,62.712,0.653,47.718,52.49,9.336,6.62,0.022,14.03,7.743,6.287,7.545,12.42,47.78,52.22,46.599,53.401,63.057,49.739,26.014,22.161,3.941,18.217,0.325,3.905,2.639,1.241,0.267,23.393,0.381,5.994,16.93,0.07,1.205,0.881,0.171,1.015,0.003,0.424,0.02,0.405,0.007,0.08,0.026,0.053,0.05,0.312,0.343,0.061,0.001,0.929,0.513,0.416,0.499,0.822,0.393,0.429,0.2,0.229,0.145
3830406C13Rik,MUGV,M02013942,3830406C13Rik(b):Hom,Hom,Female,2015-04-15,15.7,36.718,1.7,98.3,95.65,1.414,0.048,0.498,1.565,1.403,97.064,0.624,36.094,34.524,0.51,0.318,0.192,0.017,0.18,55.967,97.941,56.678,89.661,13.691,86.16,0.411,10.4,59.09,39.53,4.266,42.687,2.685,11.695,84.843,0.227,2.059,68.66,12.636,79.097,0.117,0.219,63.833,9.443,90.315,1.695,36.167,71.795,27.778,17.949,0.323,31.975,68.443,14.211,1.891,0,5.729,0.582,5.147,4.424,47.894,25.616,74.384,21.771,78.031,64.236,54.815,31.068,27.856,3.814,24.001,0.115,3.231,1.909,1.277,0.138,23.399,0.628,2.736,19.853,0.053,1.152,0.791,0.146,0.911,0.001,0.14,0.013,0.126,0.002,0.079,0.057,0.022,0.014,0.103,0.221,0.046,0,0.108,0.011,0.097,0.084,0.906,0.232,0.674,0.147,0.526,0.338
Pam16,MUEK,M02014256,Pam16(b):Het,Het,Female,2015-04-13,16,29.71,2.079,97.921,92.582,3.23,0.074,1.658,2.077,2.208,95.812,0.618,29.092,26.934,0.94,0.482,0.457,0.022,0.482,58.869,98.144,58.757,89.325,17.792,82.058,0.276,10.74,69.812,28.835,2.898,40.756,3.068,10.959,84.573,0.19,1.856,67.379,17.272,77.113,0.061,0.213,56.964,15.659,84.066,1.099,43.036,77.455,21.818,8.364,0.418,45.933,54.306,11.643,1.2,0.111,6.97,2.444,4.527,10.192,36.601,23.293,76.707,28.19,71.612,60.083,57.777,33.948,30.324,5.395,24.883,0.084,3.646,2.545,1.051,0.106,23.548,0.722,2.581,19.915,0.045,1.092,0.736,0.189,0.842,0.001,0.121,0.019,0.102,0.001,0.092,0.071,0.02,0.008,0.192,0.227,0.049,0.001,0.084,0.029,0.054,0.122,0.439,0.102,0.337,0.095,0.241,0.145
Rwdd1,MUEC,M02014261,Rwdd1(b):Hom,Hom,Male,2015-04-15,16.1,37.85,1.909,98.091,94.566,1.553,0.026,0.576,1.876,2.106,96.12,0.723,37.127,35.11,0.577,0.306,0.271,0.01,0.214,51.406,97.885,59.212,90.699,14.205,85.534,0.515,9.342,69.474,27.978,6.639,40.267,2.587,21.561,74.611,0.25,2.115,67.789,12.554,81.874,0.153,0.317,68.77,7.339,92.813,1.376,31.23,33.333,64.983,32.997,0.57,42.314,57.978,16.715,2.899,0.103,5.547,1.445,4.102,1.999,31.966,26.594,73.406,25.344,74.601,58.29,50.318,29.795,27.023,3.839,23.114,0.139,2.783,1.934,0.779,0.185,20.261,0.524,4.369,15.117,0.051,1.087,0.737,0.137,0.89,0.002,0.218,0.016,0.202,0.003,0.099,0.033,0.064,0.033,0.241,0.33,0.095,0.003,0.161,0.042,0.119,0.058,0.927,0.246,0.68,0.172,0.508,0.296
Dhx33,MUFU,M02014743,Dhx33(b):Het,Het,Male,2015-04-15,16,44.744,1.728,98.272,95.356,0.951,0.02,0.319,2.538,1.138,96.307,0.773,43.971,41.929,0.418,0.303,0.115,0.009,0.14,46.189,97.472,56.286,88.617,13.228,86.696,0.622,11.465,55.574,43.533,5.157,43.196,2.641,21.248,75.558,0.419,2.528,57.978,15.02,80.918,0.146,0.286,71.087,2.521,97.311,1.176,28.913,44.628,55.372,30.992,0.503,31.75,68.453,11.194,1.943,0.017,4.34,0.549,3.791,4.202,41.921,16.98,83.02,20.552,79.202,64.281,45.021,25.341,22.456,2.97,19.469,0.14,2.905,1.615,1.265,0.15,19.447,0.514,4.132,14.694,0.082,1.168,0.677,0.175,0.945,0.002,0.203,0.005,0.198,0.002,0.083,0.037,0.046,0.026,0.16,0.344,0.056,0,0.084,0.011,0.074,0.082,0.815,0.138,0.676,0.139,0.536,0.344
4933434E20Rik,MERZ,M02015021,WT,WT,Male,2015-04-13,16,41.082,1.457,98.543,93.506,1.759,0.038,0.658,3.019,1.755,95.265,0.599,40.483,37.854,0.712,0.415,0.297,0.015,0.266,43.763,97.597,57.949,86.224,16.992,82.954,0.631,13.877,63.354,35.443,5.988,41.475,3.107,16.139,79.971,0.267,2.403,59.937,15.721,80.158,0.063,0.192,76.736,10.633,89.367,0.452,23.264,73.134,26.119,10.448,0.59,41.276,59.232,8.639,1.711,0.127,8.637,1.452,7.185,10.115,33.834,32.907,67.093,37.149,62.626,56.81,42.712,24.751,21.341,3.626,17.703,0.135,3.435,2.176,1.217,0.206,17.714,0.55,2.859,14.167,0.047,1.052,0.63,0.165,0.843,0.001,0.147,0.016,0.132,0.001,0.045,0.033,0.012,0.005,0.244,0.35,0.051,0.002,0.148,0.025,0.123,0.173,0.579,0.19,0.388,0.144,0.243,0.138
4933434E20Rik,MERZ,M02015023,WT,WT,Male,2015-04-13,16,31.012,2.382,97.618,93.576,1.487,0.016,0.171,3.278,1.679,95.063,0.739,30.273,28.329,0.45,0.419,0.031,0.005,0.052,50.544,98.093,61.309,87.054,10.514,89.404,0.308,13.007,52.988,45.964,3.59,37.8,1.976,14.718,82.871,0.306,1.907,65.066,13.443,83.356,0.137,0.132,81,11.934,87.654,0.412,19,57.895,42.105,21.053,0.387,50.399,49.601,9.692,1.363,0.191,9.618,1.274,8.344,9.554,26.815,40.38,59.62,33.865,66.135,51.807,49.58,30.397,26.462,2.782,23.658,0.082,3.954,2.095,1.817,0.142,18.741,0.37,2.758,15.531,0.057,0.964,0.627,0.13,0.804,0.001,0.107,0.013,0.094,0,0.025,0.015,0.011,0.005,0.195,0.192,0.037,0.003,0.131,0.017,0.114,0.13,0.366,0.148,0.218,0.074,0.144,0.075
Dennd4c,MUHB,M02015067,Dennd4c(b):Het,Het,Male,2015-04-15,16,36.429,2.332,97.668,93.779,2.721,0.027,0.614,2.063,1.434,96.5,0.85,35.579,33.366,0.968,0.711,0.257,0.01,0.218,51.691,98.129,57.279,85.994,18.377,81.525,0.563,14.125,72.516,25.722,3.62,42.21,3.745,13.361,81.721,0.283,1.871,65.22,15.461,78.202,0.034,0.224,57.292,12.987,87.013,1.299,42.708,58.885,40.07,24.042,0.512,51.984,48.276,11.386,3.259,0.041,5.806,0.81,4.996,3.665,28.356,22.314,77.686,21.994,77.757,61.298,50.724,29.054,24.985,4.592,20.369,0.141,4.104,2.976,1.056,0.149,21.411,0.802,2.861,17.497,0.061,0.967,0.631,0.15,0.756,0,0.128,0.017,0.112,0.002,0.096,0.056,0.038,0.023,0.266,0.247,0.058,0.001,0.189,0.026,0.163,0.119,0.924,0.206,0.718,0.158,0.558,0.342
Fam46c,MUFH,M02015337,Fam46c(b):Het,Het,Female,2015-04-15,16,40.286,2.773,97.227,95.246,1.836,0.049,0.622,1.477,1.471,97.083,1.117,39.169,37.307,0.719,0.42,0.299,0.019,0.244,55.212,97.677,57.592,88.502,15.348,84.561,0.574,11.558,65.313,33.133,3.747,41.793,2.603,13.423,83.478,0.201,2.323,63.684,14.537,78.8,0.055,0.251,60.338,14.452,85.548,1.399,39.662,71.277,28.369,11.348,0.431,40.95,59.296,11.957,1.914,0.035,5.59,0.383,5.207,5.521,53.117,13.738,86.262,23.337,76.587,67.643,53.93,31.059,27.488,4.219,23.244,0.158,3.59,2.345,1.189,0.135,22.539,0.587,3.025,18.815,0.045,1.282,0.817,0.186,1.01,0.001,0.151,0.022,0.13,0.002,0.1,0.071,0.028,0.011,0.177,0.256,0.052,0.001,0.107,0.007,0.1,0.106,1.017,0.14,0.877,0.205,0.672,0.454
Gmds,MGCX,M02016337,WT,WT,Male,2015-04-13,16,35.925,1.848,98.152,92.752,2.161,0.014,0.348,3.307,1.813,94.913,0.664,35.261,32.706,0.762,0.664,0.098,0.005,0.123,49.096,97.282,59.82,87.705,11.485,88.322,0.44,12.276,51.026,47.51,5.322,39.598,2.018,20.137,77.098,0.259,2.718,72.652,8.192,89.361,0.025,0.318,89.005,6.118,93.882,0.471,10.995,57.143,42.857,7.619,0.548,34.043,66.14,9.119,1.314,0.05,6.855,0.745,6.11,6.11,24.193,26.899,73.101,28.652,71.067,49.407,47.761,28.571,25.058,2.878,22.132,0.11,3.507,1.79,1.666,0.187,18.912,0.382,3.808,14.581,0.049,1.335,0.97,0.109,1.193,0,0.283,0.017,0.266,0.001,0.035,0.02,0.015,0.003,0.187,0.363,0.05,0.001,0.09,0.01,0.08,0.08,0.318,0.086,0.232,0.067,0.165,0.082
Gmds,MGCX,M02016342,WT,WT,Female,2015-04-13,16,32.584,1.944,98.056,94.142,1.768,0.021,1.328,1.792,2.45,95.909,0.633,31.951,30.079,0.565,0.263,0.302,0.007,0.424,54.989,97.533,59.771,88.508,17.753,82.012,0.455,11.541,68.592,29.967,5.235,39.825,2.31,12.423,84.114,0.264,2.467,81.646,14.103,79.115,0.147,0.232,72.989,11.417,89.173,0,27.011,80.851,19.681,5.851,0.523,50.955,49.236,14.522,1.632,0.15,5.986,0.868,5.118,10.715,29.243,24.77,75.23,35.102,64.49,57.595,53.632,32.057,28.373,5.037,23.269,0.129,3.7,2.538,1.109,0.194,21.359,0.493,2.653,17.966,0.056,1.357,1.108,0.191,1.073,0.002,0.169,0.019,0.151,0,0.063,0.051,0.012,0.004,0.267,0.258,0.076,0.002,0.098,0.014,0.084,0.175,0.477,0.118,0.359,0.126,0.231,0.133
Gmds,MGCX,M02016409,WT,WT,Female,2015-04-13,16,29.511,4.727,95.273,93.042,1.612,0.013,0.489,2.941,2.487,94.654,1.395,28.116,26.16,0.453,0.306,0.148,0.004,0.137,54.551,97.617,58.668,86.348,26.001,73.345,0.598,13.708,72.158,26.485,6.087,40.522,5.183,12.351,77.396,0.284,2.383,81.039,24.758,68.156,0.322,0.281,72.761,21.795,78.462,0.769,27.239,74.658,24.658,13.699,0.747,56.232,44.258,17.857,2.036,0.077,10.065,2.958,7.107,8.413,26.892,37.857,62.143,31.954,67.586,55.442,53.251,31.241,26.976,7.014,19.785,0.161,4.282,3.09,1.134,0.261,21.578,1.118,2.665,16.701,0.061,1.3,1.054,0.322,0.886,0.004,0.204,0.044,0.16,0.002,0.076,0.057,0.019,0.01,0.42,0.331,0.133,0.002,0.205,0.06,0.145,0.171,0.548,0.207,0.34,0.109,0.23,0.128
Fam122c,PMAG,M02016580,Fam122c(b):Hom,Hom,Female,2015-04-13,15.7,34.436,1.918,98.082,94.127,1.779,0.038,0.741,2.498,1.663,95.906,0.66,33.776,31.792,0.601,0.379,0.222,0.013,0.25,53.6,97.514,60.052,88.636,14.723,85.183,0.329,11.415,58.089,41.157,3.526,39.315,2.566,11.188,85.808,0.208,2.486,71.636,12.931,81.066,0.075,0.167,53.094,18.045,81.955,1.504,46.906,72.34,27.66,18.723,0.324,47.071,53.032,11.1,1.023,0.074,8.971,1.691,7.279,6.36,36.103,25.356,74.644,33.424,66.576,53.893,52.267,31.387,27.82,4.096,23.698,0.092,3.583,2.081,1.475,0.126,20.549,0.527,2.299,17.632,0.043,1.333,0.955,0.172,1.08,0.001,0.089,0.016,0.073,0.001,0.078,0.057,0.022,0.015,0.153,0.172,0.036,0.001,0.092,0.017,0.074,0.065,0.369,0.094,0.276,0.092,0.184,0.099
Elac2,PMAH,M02016623,Elac2(b):Het,Het,Female,2015-04-20,16,34.452,1.606,98.394,94.802,0.977,0.031,0.479,1.349,3.103,95.779,0.553,33.899,32.137,0.331,0.22,0.111,0.01,0.162,55.995,97.678,59.017,86.325,15.777,84.201,0.279,13.65,55.016,44.689,3.995,40.481,2.142,12.687,84.77,0.142,2.322,69.418,19.662,78.903,0.051,0.188,50.709,23.776,76.573,2.797,49.291,74.82,24.82,7.194,0.409,41.239,59.25,10.513,1.77,0.094,4.256,0.697,3.559,7.25,20.49,29.504,70.496,32.073,67.275,55.039,54.695,32.279,27.865,4.396,23.462,0.078,4.406,2.424,1.969,0.176,22.141,0.474,2.809,18.769,0.031,1.3,0.903,0.256,1.026,0.001,0.095,0.023,0.073,0.003,0.093,0.069,0.023,0.007,0.169,0.242,0.043,0.002,0.075,0.012,0.063,0.128,0.363,0.107,0.256,0.082,0.172,0.095
Bnip2,MUEN,M02017969,Bnip2(b):Hom,Hom,Male,2015-04-13,16,30.605,2.647,97.353,92.913,2.274,0.012,0.317,3.086,1.75,95.187,0.81,29.795,27.683,0.678,0.591,0.087,0.003,0.094,52.132,97.86,58.432,79.655,15.891,83.907,0.518,18.317,46.114,52.811,3.895,40.909,3.253,18.484,77.054,0.321,2.14,77.622,15.297,80.789,0.09,0.215,84.651,6.96,93.04,0,15.349,45.455,54.545,25.253,0.529,47.1,53.468,8.449,1.959,0.144,6.556,1.693,4.863,7.925,25.396,27.092,72.908,28.21,71.401,47.411,51.016,29.809,23.745,3.773,19.924,0.123,5.46,2.518,2.884,0.213,20.87,0.679,3.858,16.081,0.067,1.116,0.866,0.171,0.901,0.001,0.182,0.013,0.169,0,0.033,0.015,0.018,0.008,0.249,0.283,0.045,0.003,0.128,0.033,0.095,0.155,0.497,0.135,0.363,0.102,0.259,0.123
Sepw1,MUHP,M02017986,Sepw1(b):Hom,Hom,Female,2015-04-15,15.6,35.221,2.274,97.726,94.03,1.659,0.032,0.542,2.091,2.281,95.689,0.801,34.42,32.365,0.571,0.36,0.211,0.011,0.187,55.743,98.061,58.004,89.5,12.518,87.464,0.459,10.557,68.114,31.397,4.333,41.423,3.03,14.087,82.526,0.254,1.939,63.926,14.745,79.474,0.124,0.241,71.111,8.984,91.016,1.367,28.889,63.942,35.577,17.308,0.379,37.213,62.963,17.549,2.027,0.016,4.341,0.658,3.684,4.193,41.128,25.23,74.77,24.492,75.401,59.929,54.662,31.706,28.377,3.552,24.82,0.13,3.347,2.28,1.051,0.145,22.643,0.686,3.19,18.686,0.057,1.081,0.691,0.159,0.859,0.001,0.171,0.015,0.156,0.002,0.07,0.044,0.025,0.012,0.141,0.239,0.066,0,0.088,0.013,0.075,0.085,0.834,0.21,0.623,0.153,0.47,0.282
Vwa3a,MUHQ,M02018001,Vwa3a(b):Hom,Hom,Male,2015-04-15,16,39.049,2.122,97.878,92.846,2.254,0.048,0.987,3.376,1.516,95.1,0.829,38.221,35.486,0.862,0.639,0.223,0.018,0.377,47.183,97.2,53.084,90.827,14.166,85.822,1.018,9.249,52.819,46.316,7.727,46.374,2.104,21.644,75.968,0.907,2.8,63.946,8.67,89.245,0.153,0.581,88.793,3.774,96.161,0.781,11.207,38.66,61.34,38.66,0.563,19.332,80.907,13.902,3.944,0.107,5.224,0.467,4.757,1.819,12.461,23.107,76.893,17.462,82.437,47.044,45.862,24.345,22.112,3.132,18.977,0.225,2.252,1.189,1.043,0.174,21.268,0.447,4.603,16.157,0.193,1.321,0.845,0.115,1.179,0.002,0.516,0.019,0.496,0.004,0.065,0.025,0.04,0.025,0.109,0.455,0.078,0.004,0.206,0.018,0.188,0.072,0.492,0.114,0.378,0.066,0.312,0.147
Tmem42,MUEX,M02018019,Tmem42(b):Hom,Hom,Female,2015-04-15,16.3,41.421,2.652,97.348,94.169,1.78,0.029,0.834,1.971,2.245,95.948,1.098,40.322,37.971,0.718,0.354,0.364,0.012,0.336,48.759,97.117,60.06,86.699,22.59,77.228,0.684,13.383,69.16,30.218,7.49,39.395,4.089,21.497,74.15,0.607,2.883,69.286,15.741,78.106,0.048,0.217,49.688,27.9,72.1,3.762,50.312,82.353,17.337,10.217,0.471,57.174,42.898,12.339,2.975,0.034,7.015,1.636,5.379,3.395,35.623,19.472,80.528,28.242,71.445,62.384,47.353,28.441,24.658,5.57,19.043,0.169,3.806,2.632,1.15,0.285,18.655,0.763,4.01,13.832,0.113,1.406,0.974,0.221,1.098,0.001,0.108,0.03,0.078,0.004,0.109,0.09,0.019,0.011,0.269,0.202,0.058,0.001,0.209,0.049,0.16,0.101,1.06,0.206,0.853,0.241,0.61,0.38
Ccdc69,MUGL,M02018044,Ccdc69(b):Hom,Hom,Female,2015-04-15,16.1,54.105,26.123,73.877,97.733,1.031,0.175,1.073,0.151,1.176,98.764,14.134,39.971,39.065,0.412,0.239,0.174,0.07,0.429,45.552,98.494,56.211,97.704,63.512,36.867,0.442,2.331,80.82,17.049,9.18,40.899,57.078,2.368,8.475,0.641,1.506,86.938,63.764,28.511,0.281,0.096,72,91.667,9.722,4.167,28,75,25,17.857,0.31,90.373,10.248,22.05,2.967,0.23,11.06,6.452,4.608,4.147,45.392,8.122,91.878,4.42,95.58,79.191,44.866,25.219,24.64,15.65,9.084,0.109,0.588,0.475,0.1,0.054,18.349,10.474,0.435,1.555,0.118,0.686,0.596,0.437,0.196,0.002,0.069,0.064,0.007,0.003,0.027,0.02,0.007,0.005,0.28,0.032,0.068,0.007,0.328,0.191,0.137,0.123,1.347,0.109,1.238,0.055,1.183,0.937
